"chrono","MIS","species","country","site","label","side","B","L","location"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART1997 c10 D25 9 334","dext",13,"16.6","Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART1997 c10 D25 5 170","dext",12,17,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART1997 c10 D25 9 312","dext",12,"16.4","Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART1997 c10 D25 7 239","dext",12,17,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART1997 c10 D25 3 123","sin",13,17,"Musée d’Angoulême, Charente"
"Late Pleistocene","5c","Crocuta crocuta spelaea","France","Artenac c10","ART2001 c10 D25 4 ","sin",13,18,"Musée d’Angoulême, Charente"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.593","sin","13.37","17.45","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.594","dext","14.73","19.35","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.592","dext","13.14","16.36","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.556","dext","14.44","19.24","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.559","sin","12.01","17.82","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.560","dext","13.1","17.02","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Kf c1c2 051","sin","13.3","18.5","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives",,"dext",,"16.5","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv 2000 Jf c1c2 18","dext",12,17,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","out (11)","sin","13.5",19,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv 2000 Hb 105 D1D2","dext",11,17,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Gf 63 D1D2 30375","sin",13,"17.5","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv 21","dext",13,17,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 B 531.2","sin",12,16,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F11 A/B 151","dext","13.3","17.5",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","H9 C 131","dext","13.4","18.7",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 B 394","dext",14,17,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F10 B 219","dext","14.4","18.8",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G7 B 152","dext","14.8","18.8",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F11 B 195","dext","13.2",17,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 B2 504","sin",14,"18.5",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 B 524","sin","14.8",18,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 B 516","sin","13.8",18,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G6 E 108","dext",13,17,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","H7 E 31","sin",13,17,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","H9  142","sin",13,19,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F10 B 76","dext",12,"16.2",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","HS  8","sin",14,18,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F9 A/B 413","dext","13.8",17,
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PI R cav","sin",11,"14.5","MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PI C5 base","sin",13,"16.7","MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PII P14 c5","sin",13,"17.7","MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PI C6","dext","13.4",16,"MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PI R cav","dext","11.6",16,"MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PI C5 base 454","dext","12.4","16.5","MMSH, LAMPEA, Aix-en-Provence"
