"chrono","MIS","species","country","site","label","side","B","L","location"
"Middle Pleistocene","6-9","Crocuta crocuta spelaea","France","Artenac VI","ART  P58VI","sin","14.8",23,"Musée d’Angoulême, Charente"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.640","dext","13.88","21.69","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.563 / 22.7.45","sin","16.69","23.63","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.562","sin","15.24","23.95","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.706","sin","15.32","24.16","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.631","sin","15.03","23.67","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.633","dext","14.57","22.68","Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Baume-Longue","MR.4.002.630","dext","14.62",,"Muséum Requien, Avignon"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Dèb 10045","dext",15,"24.7","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Dèb 10046","dext",15,"23.6","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Dèb 10047","dext","14.5","22.7","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives",,"dext","15.1",24,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv 10048","sin","14.5",23,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv He 108 D1D2","sin",14,24,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Gf 24 c1c2 30319","dext",15,"22.3","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv 31 30415","sin","14.5",22,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Dèb 10003","dext","17.4",24,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Ebo 10000","sin","14.6",23,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Ge 78 D1D2","sin","14.5","20.6","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv 10002","dext",15,22,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives",,"sin","13.5",23,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Ge D1","sin",16,25,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives",,"sin",15,"23.8","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives",,"dext",15,24,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv 2000 Hb 113 D1D2","dext","13.8","22.6","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G10 A 18","sin","17.4",24,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F11 A 121","dext",15,"24.5",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","H9/B9 A 14/406","dext",,"23.3",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G5 A 1","sin","13.8","23.4",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 A/B 171","sin",16,,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 A/B 160","dext",15,"23.4",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","HS","sin",15,"24.5",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G10 E/A 5","sin","15.7","25.5",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F10 C 401","sin",14,24,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G10 E/A 5","sin",16,26,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","E11 B 21","sin","14.3",23,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G7 B 136","sin",15,24,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 B 508","sin","14.6",24,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 B 331","sin",16,24,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 B 495","sin",15,25,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 B 317","sin","14.8","24.5",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 B 397","sin","15.2",24,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 B 399","sin","16.2","24.3",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F9 B 70","sin","14.2",24,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 B 502","sin",15,24,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","E11 B 133","sin","15.4","24.8",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 B 335","sin","15.4",25,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G6 90","dext",15,"23.5",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 B2 502","dext",15,24,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 B 502","dext",13,"21.5",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F9 B 209","dext","13.9",22,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","E10 B 66","dext","14.9",23,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F11 B 189","dext","14.9",23,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 B 482","dext","14.5",23,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 B 738","dext","14.2",23,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 B 390","dext","15.2",25,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 B 457","dext",,"23.2",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","H8 C 202","sin","15.2","25.2",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 C 27?","sin",16,25,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F9 C 191","sin","14.8",24,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F9 C 285","sin","14.8",24,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F10 C 398","sin","13.5",22,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G7 C 204","sin",14,24,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","H7 C 98","sin",14,"23.7",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F10 C 374","sin","14.9","24.7",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 C 620","sin",15,24,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F10 C 407","sin","15.2","23.7",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 C 555","sin",15,25,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F7 E 39","dext",13,24,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F10 C 326","sin",14,23,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","E10 C 186","dext",15,"23.5",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 C 713","dext","15.2",24,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 C 621","dext","15.5",25,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","H8 C 248","dext","15.5",25,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 C 263","dext",15,"24.7",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 C 262","dext",14,23,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 C 622","dext",15,"23.5",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F9 247","dext",16,24,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F10 C 294","dext",15,25,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 C 612","dext",15,25,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F10 C 376","dext",,"25.5",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F10 C 330","dext","15.5","25.5",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G6 82","sin","15.4",24,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","E10 B 82","sin",15,"24.5",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F9 B 167","dext","14.2","23.4",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","E11 B 225","dext",12,"22.3",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","1842-16","sin",15,24,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","1842-15","sin",16,24,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 C 584","dext",14,24,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","H7 A 83","dext",15,24,
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PI TR 7","dext",16,"25.5","MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PI Ta 11","sin",13,24,"MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PI C6","dext",15,23,"MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PI C5 base 455","dext",,"23.6","MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PII Q14 343","sin",13,"22.5","MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PI C5 base 466","sin","14.4",23,"MMSH, LAMPEA, Aix-en-Provence"
