"chrono","MIS","species","country","site","label","side","B","L","location"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Ebo 10058","sin","18.6",24,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Gf 63 D1D2 30375","sin","17.4","24.3","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv Hf 33 c1c2","sin",18,"24.2","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv 21","dext",18,"22.7","Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv c2 10028","dext","18.4",23,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Conives","Cnv 27 30414","sin","18.4",24,"Musée Archéologique d’Argentomagus, Indre"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","H8 B 116","dext",18,26,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 B 518","dext",17,"23.5",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","B ","dext",17,24,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G7 B 142","sin",17,24,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F9 B 90","sin",16,23,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 B 573","sin","18.5",25,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 B 575","sin",18,,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 B 537","sin",19,26,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G7 B 124","sin",17,23,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F9 B 176","sin",17,"24.2",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F10 C 312","dext",18,,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 A 68","sin",17,24,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F10 A 106","dext",18,"25.4",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F11 A 93","dext","17.4","24.4",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F9 A/B 413","dext",18,23,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8  671","dext","18.8","24.9",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","H7 C 85","sin",18,"26.5",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","H9 C 205","sin",17,24,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F10 C 234","sin",18,26,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F11 C 230","sin",18,25,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","HS  12","sin",17,13,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G10 E 6","sin",15,26,
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PI T.U 6","dext",16,24,"MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PII Q14 99","sin",19,24,"MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PI GF 10-11","sin",,24,"MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PI E8 335","sin",,"25.3","MMSH, LAMPEA, Aix-en-Provence"
